playerID,awardID,yearID,lgID,tie,notes
matsuhi01,Player of the Week,2003,AL,,Week of 2003-06-28
matsuhi01,Rookie of the Month,2003,AL,,June
okajihi01,This Year in Baseball Setup Man of the Year,2007,ML,,MLB.com GIBBY
okajihi01,Rookie of the Month,2007,AL,,April
nomohi01,Pitcher of the Month,1995,NL,,June
nomohi01,Player of the Week,1995,NL,,Week of 1995-06-24
nomohi01,TSN Rookie Pitcher of the Year,1995,NL,,
greenhu01,Player of the Week,2022,NL,,Week of 2022-06-11
pencehu01,Player of the Week,2007,NL,Y,Week of 2007-05-19
pencehu01,Rookie of the Month,2007,NL,,May
renfrhu01,Player of the Week,2016,NL,,Week of 2016-10-01
streehu01,MLB Players Choice Outstanding Rookie,2005,AL,,
streehu01,TSN Rookie of the Year,2005,AL,,
suzukic01,MLB Players Choice Outstanding Rookie,2001,AL,,
suzukic01,Rookie of the Month,2001,AL,,April
suzukic01,Rookie of the Month,2001,AL,,May
suzukic01,Rookie of the Month,2001,AL,,August
suzukic01,Rookie of the Month,2001,AL,,September
suzukic01,TSN Rookie Player of the Year,2001,AL,,
robinja02,TSN Rookie of the Year,1947,ML,,
merrija01,Silver Slugger,2024,NL,,OF
merrija01,All-MLB Team - Second Team,2024,ML,,OF
merrija01,Player of the Week,2024,NL,,Week of 2024-08-10
fernajo02,Player of the Week,2013,NL,Y,Week of 2013-07-28
fernajo02,Rookie of the Month,2013,NL,,July
fernajo02,Rookie of the Month,2013,NL,,August
miranjo01,Rookie of the Month,2022,AL,,July
valvejo01,Player of the Week,2003,NL,Y,Week of 2003-06-21
barfijo02,Rookie of the Month,2006,NL,,July
hamiljo03,Rookie of the Month,2007,NL,,April
towerjo01,Rookie of the Month,2001,AL,,June
guzmaju01,TSN Rookie Pitcher of the Year,1991,AL,,
lagarju01,Player of the Week,2013,NL,,Week of 2013-07-21
sotoju01,Rookie of the Month,2018,NL,,June
sotoju01,Rookie of the Month,2018,NL,,July
sotoju01,Rookie of the Month,2018,NL,,September
lugoju01,Player of the Week,2000,NL,Y,Week of 2000-09-09
rodriju01,All-MLB Team - Second Team,2022,ML,,OF
rodriju01,Player of the Week,2022,AL,,Week of 2022-07-02
rodriju01,MLB Players Choice Outstanding Rookie,2022,AL,,
rodriju01,Rookie of the Month,2022,AL,,May
rodriju01,Rookie of the Month,2022,AL,,June
rodriju01,TSN Rookie of the Year,2022,AL,,
kangju01,Rookie of the Month,2015,NL,,July
felixju01,Player of the Week,1989,AL,,Week of 1989-06-02
sasakka01,TSN Rookie Pitcher of the Year,2000,AL,,
ishiika01,Rookie of the Month,2002,NL,,April
hayeske01,Rookie of the Month,2020,NL,,September
monteke01,Player of the Week,2024,AL,,Week of 2024-09-14
johnske05,Player of the Week,2005,NL,,Week of 2005-06-19
caminke01,Player of the Week,1987,NL,,Week of 1987-07-17
griffke02,Player of the Week,1989,AL,,Week of 1989-04-28
huntke02,TSN Rookie of the Year,1961,NL,,Pitcher
woodke02,Player of the Week,1998,NL,,Week of 1998-05-09
woodke02,MLB Players Choice Outstanding Rookie,1998,NL,,
woodke02,TSN Rookie Pitcher of the Year,1998,NL,,
hiurake01,Player of the Week,2019,NL,,Week of 2019-07-20
hiurake01,Rookie of the Month,2019,NL,,July
youklke01,Rookie of the Month,2004,AL,,May
rueteki01,TSN Rookie Pitcher of the Year,1993,NL,,
saarlki01,Rookie of the Month,2002,NL,,July
bryankr01,This Year in Baseball Best Rookie,2015,ML,,Esurance
bryankr01,MLB Players Choice Outstanding Rookie,2015,NL,,
bryankr01,Rookie of the Month,2015,NL,,May
bryankr01,Rookie of the Month,2015,NL,,August
bryankr01,TSN Rookie of the Year,2015,NL,,
hendrky01,Rookie of the Month,2014,NL,,August
gurrilo01,Rookie of the Month,2018,AL,,July
aparilu01,TSN Rookie of the Year,1956,AL,,
roberlu01,Rookie of the Month,2020,AL,,July/August
machama01,Player of the Week,2012,AL,Y,Week of 2012-08-12
clearma01,Pitcher of the Month,1979,AL,,June
clearma01,TSN Rookie Pitcher of the Year,1979,AL,,
fidryma01,Player of the Month,1976,AL,,June
fidryma01,TSN Rookie Pitcher of the Year,1976,AL,,
gracema01,TSN Rookie Player of the Year,1988,NL,,
langsma01,Player of the Week,1984,AL,,Week of 1984-06-29
langsma01,TSN Rookie Pitcher of the Year,1984,AL,,
bystrma01,Pitcher of the Month,1980,NL,,September
cordoma01,Player of the Week,1995,AL,,Week of 1995-05-20
cordoma01,MLB Players Choice Outstanding Rookie,1995,AL,,
tanakma01,Pitcher of the Month,2014,AL,,May
yoshima02,Player of the Week,2023,AL,,Week of 2023-05-06
joycema01,Player of the Week,2008,AL,,Week of 2008-07-12
mclaima01,Player of the Week,2023,NL,Y,Week of 2023-05-27
morrima01,TSN Rookie Pitcher of the Year,1997,NL,,
chavimi01,Rookie of the Month,2019,AL,,May
fulmemi01,MLB Players Choice Outstanding Rookie,2016,AL,,
fulmemi01,TSN Rookie of the Year,2016,AL,,
harrimi04,Rookie of the Month,2022,NL,,June
harrimi04,Rookie of the Month,2022,NL,,August
harrimi04,Rookie of the Month,2022,NL,,September
pinedmi01,Rookie of the Month,2011,AL,,April
cabremi01,Rookie of the Month,2003,NL,,July
cabremi01,Rookie of the Month,2003,NL,,September
sanomi01,Rookie of the Month,2015,AL,,August
